N° serv., Lavado, Secado, Jabón, Soflan, Vanish, Desengrasante, Pepas, Clorox, Total, Fecha
1, 1, 1, 1, 1, 1, 1, 1, 1, 99.0, 1/5/24
2, , , , , , , , , 1000.0, 1/5/24
3, 1, 1, 1, , , , , , 90000.0, 1/5/24
4, 1, 1, 1, 1, 1, 1, 1, 1, 1200000.0, 1/5/24
5, 1, 1, 1, , , , , , 10000.0, 1/5/24
6, 1, 1, 1, , , , , , 10000.0, 1/5/24
7, 1, 1, 1, 1, 1, 1, , , 50000.0, 1/5/24
8, 1, 1, 1, 1, 1, 1, 1, 1, 10000.0, 1/5/24
9, , , , , , , , , 1000000.0, 1/5/24
10, , , , , , , , , 80000.0, 1/5/24
11, , , , , , , , , 100000.0, 1/5/24
12, , , , , , , , , 50000.0, 1/5/24
13, 1, 1, 1, 1, 1, 1, 1, 1, 90000.0, 1/5/24
